username,payout,points,total_payout,total_points,total_wus,created_at
zzgfobkrfoai,2.67,3400,63.13,111010,43,2022-01-01T23:00:16.475Z
zzzgzjd0k07p,37.17,369742,1774.83,18233237,376,2022-03-28T09:38:54.150Z
zyxahaxo6jcf,45.21,515775,261.01,3086846,22,2022-04-17T16:08:41.388Z
zz672wmpffdj,86.4,2101029,16621.85,397250341,1474,2021-12-23T03:52:33.264Z
zyx68xr5qi9c,26.84,224691,753.45,6231814,54,2022-03-21T03:36:19.848Z
zzlpssz0ms1w,58.22,835212,5833.08,82858387,307,2022-01-19T22:06:44.466Z
zzmxnychvwgx,3.57,37000,104269.24,157708247,1596,2019-05-30T12:57:08.542Z
zz4wz65z2t99,26.53,220340,18622.95,168765104,1375,2021-04-12T16:59:51.926Z
zzwvtryzltcr,80.02,505671,16340.73,146448091,2045,2021-04-18T23:31:21.811Z
zyvc2nodo068,35.38,341154,12971.72,125545247,528,2021-05-16T03:47:33.431Z
zy7aovj18kfe,2.66,3570,1300.92,684578,283,2020-01-28T23:19:12.205Z
zx1lz4vignxx,15.43,107890,14213.56,15214011,676,2020-02-17T17:39:40.568Z
zx7rqklr7udl,3.54,20410,2784.19,10461796,992,2021-05-07T01:24:51.445Z
zy5929e1imgn,44.08,493118,643.37,5571322,155,2022-01-02T19:53:32.901Z
zyjeambnpkaw,2.63,9364,28.92,62313,21,2022-04-03T07:54:10.390Z
zxada7sgwbtf,43.84,488351,3929.76,43636849,148,2022-01-26T20:02:34.486Z
zwudqjqft938,19.95,149776,386.88,3182092,29,2022-04-06T19:47:54.414Z
zxxkz0s1dldq,47.65,567000,7939.51,95090625,232,2021-12-16T13:36:55.670Z
zxvwcvx5y7w3,26.59,221078,7171.56,66687912,2304,2021-09-23T00:48:35.450Z
zxnnvf58tqdp,20.82,174384,11129.08,92088239,1831,2021-05-07T10:33:03.284Z
zv1flu65ix42,13.36,90000,21.86,131698,5,2022-04-06T13:45:35.509Z
ztygh7edr9lz,87.02,2142147,9112.33,176301890,525,2021-06-07T15:42:21.837Z
zvd6suegb6e5,46.58,564139,16499.25,182015275,656,2021-05-18T01:23:02.683Z
zvfj9fj2pils,3.7,54111,7591.38,79945448,1932,2021-03-14T00:45:04.778Z
