Fold_date,Total_points,Total_Folders
01-Jan-2026 12 UTC,3880.67,393
01-Jan-2026 00 UTC,3988.75,396
31-Dec-2025 12 UTC,3932.99,418
31-Dec-2025 00 UTC,3915.13,411
30-Dec-2025 12 UTC,4025.79,420
30-Dec-2025 00 UTC,3935.59,410
29-Dec-2025 12 UTC,3900.34,395
29-Dec-2025 00 UTC,4166.28,412
28-Dec-2025 12 UTC,3745.04,373
28-Dec-2025 00 UTC,4100.27,417
27-Dec-2025 12 UTC,3874.41,380
27-Dec-2025 00 UTC,4129.17,412
26-Dec-2025 12 UTC,3937.11,407
26-Dec-2025 00 UTC,4151.37,406
25-Dec-2025 12 UTC,3954.2,396
25-Dec-2025 00 UTC,4127.14,408
24-Dec-2025 12 UTC,3899.76,401
24-Dec-2025 00 UTC,3988.98,423
23-Dec-2025 12 UTC,3874.86,410
23-Dec-2025 00 UTC,4114.74,426
22-Dec-2025 12 UTC,4054.43,418
22-Dec-2025 00 UTC,4167.15,414
21-Dec-2025 12 UTC,4088.81,404
21-Dec-2025 00 UTC,4103.14,422
20-Dec-2025 12 UTC,4168.52,414
20-Dec-2025 00 UTC,4287.86,422
19-Dec-2025 12 UTC,4285.75,454
19-Dec-2025 00 UTC,4522.29,465
18-Dec-2025 12 UTC,4451.26,470
18-Dec-2025 00 UTC,4640.48,463
17-Dec-2025 12 UTC,4625.71,451
17-Dec-2025 00 UTC,4858.04,490
16-Dec-2025 12 UTC,5013.04,482
16-Dec-2025 00 UTC,4874.27,466
15-Dec-2025 12 UTC,4674.48,464
15-Dec-2025 00 UTC,4715.9,466
14-Dec-2025 12 UTC,4688.19,453
14-Dec-2025 00 UTC,4550.13,466
13-Dec-2025 12 UTC,4607.75,458
13-Dec-2025 00 UTC,4635.42,482
12-Dec-2025 12 UTC,4698.57,481
12-Dec-2025 00 UTC,4750.23,480
11-Dec-2025 12 UTC,4555.18,462
11-Dec-2025 00 UTC,4385.62,453
10-Dec-2025 12 UTC,4617.69,485
10-Dec-2025 00 UTC,4613.06,478
09-Dec-2025 12 UTC,4454.33,469
09-Dec-2025 00 UTC,4492.17,467
08-Dec-2025 12 UTC,4511.4,457
08-Dec-2025 00 UTC,4689.34,465
07-Dec-2025 12 UTC,4472.38,452
07-Dec-2025 00 UTC,4680.57,472
06-Dec-2025 12 UTC,4678.94,467
06-Dec-2025 00 UTC,4652.57,477
05-Dec-2025 12 UTC,4636.34,470
05-Dec-2025 00 UTC,4793.47,494
04-Dec-2025 12 UTC,4666.13,478
04-Dec-2025 00 UTC,4766.66,491
03-Dec-2025 12 UTC,4606.86,484
03-Dec-2025 00 UTC,4551.89,489
02-Dec-2025 00 UTC,4625.02,491
30-Nov-2025 12 UTC,4752.42,463
29-Nov-2025 12 UTC,4584.88,471
29-Nov-2025 00 UTC,4704.81,499
28-Nov-2025 12 UTC,4493.06,485
28-Nov-2025 00 UTC,4640.31,482
27-Nov-2025 12 UTC,4335.67,471
26-Nov-2025 12 UTC,4659.6,481
26-Nov-2025 00 UTC,4591.78,478
25-Nov-2025 12 UTC,4727.03,498
25-Nov-2025 00 UTC,4655.6,479
24-Nov-2025 12 UTC,4555.68,480
24-Nov-2025 00 UTC,4707.22,487
23-Nov-2025 12 UTC,4619.14,456
23-Nov-2025 00 UTC,4418.39,471
22-Nov-2025 12 UTC,4671.84,472
21-Nov-2025 12 UTC,4674.79,492
21-Nov-2025 00 UTC,4570.24,465
20-Nov-2025 12 UTC,4714.39,487
20-Nov-2025 00 UTC,5026.81,511
19-Nov-2025 12 UTC,4910.78,489
19-Nov-2025 00 UTC,6639.23,608
18-Nov-2025 12 UTC,0,0
18-Nov-2025 00 UTC,4389.61,460
17-Nov-2025 12 UTC,4490.01,464
17-Nov-2025 00 UTC,4527.69,444
16-Nov-2025 12 UTC,4558.27,458
16-Nov-2025 00 UTC,5784.96,472
15-Nov-2025 12 UTC,0,0
15-Nov-2025 00 UTC,4632.33,489
14-Nov-2025 12 UTC,4617.96,482
14-Nov-2025 00 UTC,4351.67,453
13-Nov-2025 12 UTC,4526.39,463
13-Nov-2025 00 UTC,4621.42,483
12-Nov-2025 12 UTC,4440.7,457
12-Nov-2025 00 UTC,4616.77,489
11-Nov-2025 12 UTC,4543.42,470
11-Nov-2025 00 UTC,4416.05,440
10-Nov-2025 12 UTC,4463.62,476
10-Nov-2025 00 UTC,4537.8,463
09-Nov-2025 12 UTC,4479.29,454
09-Nov-2025 00 UTC,4724.84,485
08-Nov-2025 12 UTC,4625.09,464
08-Nov-2025 00 UTC,4781.94,482
07-Nov-2025 12 UTC,4539.25,482
07-Nov-2025 00 UTC,4240.57,457
06-Nov-2025 12 UTC,4189.49,450
06-Nov-2025 00 UTC,4332.05,466
05-Nov-2025 12 UTC,4265.9,442
05-Nov-2025 00 UTC,4127.89,446
04-Nov-2025 12 UTC,4180.44,427
04-Nov-2025 00 UTC,4046.36,435
03-Nov-2025 12 UTC,4200.7,428
03-Nov-2025 00 UTC,4222.41,445
02-Nov-2025 12 UTC,4185.71,426
02-Nov-2025 00 UTC,4350.34,426
01-Nov-2025 12 UTC,4167.92,424
01-Nov-2025 00 UTC,4160.74,432
31-Oct-2025 12 UTC,4166.62,446
31-Oct-2025 00 UTC,4162.61,441
30-Oct-2025 12 UTC,4300.78,436
30-Oct-2025 00 UTC,4202.06,431
29-Oct-2025 12 UTC,4337.79,423
29-Oct-2025 00 UTC,4324.55,452
28-Oct-2025 12 UTC,4162.25,427
28-Oct-2025 00 UTC,4346.98,451
27-Oct-2025 12 UTC,4489.96,473
27-Oct-2025 00 UTC,4364.92,445
26-Oct-2025 12 UTC,4392.19,428
26-Oct-2025 00 UTC,4614.43,462
25-Oct-2025 12 UTC,4396.38,439
25-Oct-2025 00 UTC,4530.67,462
24-Oct-2025 12 UTC,4345.38,441
24-Oct-2025 00 UTC,4168.99,472
23-Oct-2025 12 UTC,4131.8,437
23-Oct-2025 00 UTC,4482.06,461
22-Oct-2025 12 UTC,4369.26,447
22-Oct-2025 00 UTC,4540.24,469
21-Oct-2025 12 UTC,4599.79,490
21-Oct-2025 00 UTC,4476.6,443
20-Oct-2025 12 UTC,4519.36,462
20-Oct-2025 00 UTC,4559.29,461
19-Oct-2025 12 UTC,4392.48,441
19-Oct-2025 00 UTC,4370.49,461
18-Oct-2025 12 UTC,4371.6,437
18-Oct-2025 00 UTC,4663.11,495
17-Oct-2025 12 UTC,4149.2,443
17-Oct-2025 00 UTC,4317.97,457
16-Oct-2025 12 UTC,3997.34,427
16-Oct-2025 00 UTC,4184.63,442
15-Oct-2025 12 UTC,4217.77,445
15-Oct-2025 00 UTC,4734.88,511
14-Oct-2025 12 UTC,4863.91,520
14-Oct-2025 00 UTC,13786.55,1384
13-Oct-2025 12 UTC,0,0
13-Oct-2025 00 UTC,0,0
12-Oct-2025 12 UTC,2512.69,273
12-Oct-2025 00 UTC,5503.68,621
11-Oct-2025 12 UTC,5434.04,625
11-Oct-2025 00 UTC,5665.18,652
10-Oct-2025 12 UTC,5889.23,675
10-Oct-2025 00 UTC,6006.29,709
09-Oct-2025 12 UTC,5551.16,672
09-Oct-2025 00 UTC,5989.81,706
08-Oct-2025 12 UTC,6072.96,700
08-Oct-2025 00 UTC,5784.22,685
07-Oct-2025 12 UTC,4878.6,558
07-Oct-2025 00 UTC,5666.68,656
06-Oct-2025 12 UTC,5645.41,655
06-Oct-2025 00 UTC,5853.93,671
05-Oct-2025 12 UTC,5856.53,656
05-Oct-2025 00 UTC,5889.76,686
04-Oct-2025 12 UTC,5740.51,641
04-Oct-2025 00 UTC,5649.67,690
03-Oct-2025 12 UTC,5941.95,714
03-Oct-2025 00 UTC,5617.61,670
02-Oct-2025 12 UTC,5670.91,676
02-Oct-2025 00 UTC,4894.32,646
01-Oct-2025 12 UTC,2986.72,409
01-Oct-2025 00 UTC,3959.47,470
30-Sep-2025 12 UTC,4317.15,447
30-Sep-2025 00 UTC,5903.88,719
29-Sep-2025 12 UTC,5660.01,689
29-Sep-2025 00 UTC,6152.32,738
28-Sep-2025 12 UTC,6171.2,727
28-Sep-2025 00 UTC,6298.27,752
27-Sep-2025 12 UTC,6204.91,757
27-Sep-2025 00 UTC,5663.25,719
26-Sep-2025 12 UTC,6104.07,757
26-Sep-2025 00 UTC,5959.68,733
25-Sep-2025 12 UTC,5851.93,760
25-Sep-2025 00 UTC,5769.31,712
24-Sep-2025 12 UTC,5875.96,735
24-Sep-2025 00 UTC,5900.7,747
23-Sep-2025 12 UTC,5932.4,752
23-Sep-2025 00 UTC,5746.27,736
22-Sep-2025 12 UTC,5912.38,720
22-Sep-2025 00 UTC,5910.61,733
21-Sep-2025 12 UTC,6264.2,725
21-Sep-2025 00 UTC,5842.97,710
20-Sep-2025 12 UTC,6017.19,741
20-Sep-2025 00 UTC,5713.21,718
19-Sep-2025 12 UTC,5790.32,715
19-Sep-2025 00 UTC,6088.8,777
18-Sep-2025 12 UTC,5762.01,713
18-Sep-2025 00 UTC,5798.25,741
17-Sep-2025 12 UTC,5948.88,751
16-Sep-2025 12 UTC,6085.88,741
16-Sep-2025 00 UTC,6097.01,722
15-Sep-2025 12 UTC,6024.19,728
15-Sep-2025 00 UTC,6158.0,734
14-Sep-2025 12 UTC,5884.43,693
14-Sep-2025 00 UTC,6066.24,731
13-Sep-2025 12 UTC,5269.23,628
